,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Urbis sala 2024,19829,18885,19872,19742,19901,"18305,3","20134,29",20618,19097,20250,"26183,56",19650
Urbis Oficina 2024,929,630,898,1041,714,891,864,686,732,998,635,899
Urbis Vestuario 2024,448,383,399,415,369,"433,43","463,68","432,62","476,21","397,11","362,73","397,81"
MAPFRE 5ª 2024,28139,26736,27309,29558,30177,31117,35235,36387,33442,34031,32120,30804
MAPFRE 4ª 2024,1055,1065,798,1325,1170,"1174,28","1858,19","1593,71","1499,19","1056,62","1246,9","655,17"
MAPFRE 1ª 2024,,,,,,,"21,755","21,755","125,34","125,34","620,62","620,62"
Urbis sala 2025,"27194,6","40823,79","45606,07",44393,45617,32441,"33684,6","34316,6",33580,"35626,5",14256,54382
Urbis Oficina 2025,671,"917,01","694,63","1022,39",811,930,809,1079,838,1326,1001,"440,36"
Urbis Vestuario 2025,"410,64","349,54","429,27","405,99","379,09","358,49","322,91","315,77","435,37","354,76","347,11","513,06"
MAPFRE 5ª 2025,30435,27261,30761,"29657,7",33049,35235,38628,39530,39299,39594,34994,32755
MAPFRE 4ª 2025,"602,87","650,42","682,56","1224,32","1375,14","1673,6","1773,5","1880,91","1790,73","1694,71","1059,07","914,98"
MAPFRE 1ª 2025,"649,16","523,71","496,97","555,25","1097,55","1070,88","1245,2","875,35","908,78","797,65","435,11","299,88"
