,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Urbis sala 2023,"22.534,00","19.907,00","21.056,00","19.267,00","19.783,00","19.677,00","20.201,00","20.618,00","19.097,00","20.250,00","19.188,00","19.650,00"
Urbis Oficina 2023,802,701,654,706,914,272,"4.789,00",926,"1.044,00",879,965,804
Urbis Vestuario 2023,"476,5","461,5","461,5","379,5","379,5",486,384,350,330,420,409,369
MAPFRE 5ª 2023,"23.638,00","21.506,00","27.161,00","27.150,00","28.257,00","28.995,00","31.830,00","34.769,00","31.761,00","34.064,00","29.627,00","28.082,00"
MAPFRE 4ª 2023,880,880,"1.116,00","1.116,00","1.467,00","1.467,00","1.581,00","1.581,00","1.410,00","1.909,00","1.147,00",654
MAPFRE 1ª 2023,,,,,,,,,,,,
Urbis sala 2024,19829,18885,19872,19742,19901,"18305,3","20134,29",20618,19097,20250,"26183,56",19650
Urbis Oficina 2024,929,630,898,1041,714,891,864,686,732,998,635,899
Urbis Vestuario 2024,448,383,399,415,369,"433,43","463,68","432,62","476,21","397,11","362,73","397,81"
MAPFRE 5ª 2024,28139,26736,27309,29558,30177,31117,35235,36387,33442,34031,32120,30804
MAPFRE 4ª 2024,1055,1065,798,1325,1170,"1174,28","1858,19","1593,71","1499,19","1056,62","1246,9","655,17"
MAPFRE 1ª 2024,,,,,,,"21,755","21,755","125,34","125,34","620,62","620,62"
